[00:00:01,040 --> 00:00:07,839] Ser we start
[01:09:42,719 --> 01:09:50,679] on so this is a one example of the uh
[01:09:46,920 --> 01:09:53,199] the The Mask CDC actually the first CTC
[01:09:50,679 --> 01:09:57,520] result has a lot of
[01:09:53,199 --> 01:10:00,360] errors but by masking the the
[01:09:57,520 --> 01:10:03,159] unconfident part and predicting from the
[01:10:00,360 --> 01:10:06,560] kind of other The Confident information
[01:10:03,159 --> 01:10:09,560] we can actually iteratively recover the
[01:10:06,560 --> 01:10:12,880] better performance and finally getting
[01:10:09,560 --> 01:10:15,360] the uh this part is actually correct uh
[01:10:12,880 --> 01:10:18,640] this part is correct and this part is
[01:10:15,360 --> 01:10:21,120] remaining wrong but uh this is actually
[01:10:18,640 --> 01:10:23,440] another way to break the conditional
[01:10:21,120 --> 01:10:27,320] Independence assumption by using the
[01:10:23,440 --> 01:10:27,320] mask language model and so on
[01:10:28,040 --> 01:10:34,719] okay so this is uh the the the uh the
[01:10:31,000 --> 01:10:39,199] summary of the CTC so CTC is the most
[01:10:34,719 --> 01:10:42,560] simple n and ASR uh this is the s to the
[01:10:39,199 --> 01:10:44,120] conditional Independence assumption but
[01:10:42,560 --> 01:10:46,760] due to the conditional Independence
[01:10:44,120 --> 01:10:50,840] assumption it has a pro and cons that we
[01:10:46,760 --> 01:10:53,560] actually the discussed before and some
[01:10:50,840 --> 01:10:56,360] people may think that no no CTC is are
[01:10:53,560 --> 01:10:58,320] old Techni CTC is actually other due to
[01:10:56,360 --> 01:11:00,199] the conditional Independence assumption
[01:10:58,320 --> 01:11:04,120] it is not the state of the
[01:11:00,199 --> 01:11:06,920] other partly I agree but I actually
[01:11:04,120 --> 01:11:09,760] don't hly agree this one due to the kind
[01:11:06,920 --> 01:11:12,040] of strong encoder and due to the kind of
[01:11:09,760 --> 01:11:14,440] a lot of techniques to deling the
[01:11:12,040 --> 01:11:16,040] condition Independence assumption CTC
[01:11:14,440 --> 01:11:18,640] performance is actually getting better
[01:11:16,040 --> 01:11:21,239] and better and also due to the kind of
[01:11:18,640 --> 01:11:24,520] very nice paration capability in the
[01:11:21,239 --> 01:11:27,840] decoding the beam search part actually
[01:11:24,520 --> 01:11:30,719] CTC is still powerfully used or some of
[01:11:27,840 --> 01:11:32,880] the application CTC is very necessary so
[01:11:30,719 --> 01:11:37,040] this is actually the summary of the CTC
[01:11:32,880 --> 01:11:39,800] part and then I will move to the uh the
[01:11:37,040 --> 01:11:43,400] uh weekly assignment today uh any quick
[01:11:39,800 --> 01:11:43,400] question about CTC
